name,price,vehicleType,yearOfRegistration,gearbox,powerCV,kilometer,fuelType,brand,notRepairedDamage
quad_neu_t?v_tauschen_gegen_Auto,1700,desconocido,3200,desconocido,,5000,desconocido,others,
Opel_GT_Karosserie_mit_Brief!,700,desconocido,9999,desconocido,,10000,desconocido,opel,
Reo_Vorkriegs_Oldtimer_Rennwagen_1928,6500,desconocido,8888,desconocido,,10000,desconocido,others,
Renault_Twingo,300,desconocido,2200,desconocido,,5000,desconocido,renault,
Kompressor,1600,desconocido,4100,desconocido,,5000,desconocido,others,
A_Klasse_reifen_auf_Stahlfelge,150,desconocido,3000,desconocido,,5000,desconocido,mercedes_benz,
Opel_Zafira_bj_1999,800,desconocido,2066,desconocido,,5000,diesel,opel,
E30_2_Tuerer_BMW_316_325,799,desconocido,9999,desconocido,,10000,petrol,bmw,
Mercedes_Benz_A180,18000,desconocido,9999,desconocido,,10000,petrol,mercedes_benz,
58er_karmann_ghia_lowlight_Kaefer__zum_restauriern,7999,desconocido,9999,desconocido,,10000,desconocido,volkswagen,
Simson_Star_1973_/Kauf_oder_Tausch,800,desconocido,5300,desconocido,,10000,desconocido,others,
Ford_Fiesta_ausgebrannt,999,desconocido,9000,desconocido,,10000,desconocido,ford,yes
Einzelstueck_zu_verkaufen,5000,desconocido,2900,manually,118.0,5000,petrol,opel,
Yamaha_Raptor_660R_Limited_Edition___Spezialausfuehrung___PKW_Zul.,4900,desconocido,6000,manually,51.0,10000,petrol,others,no
Ford_Escort_1.4_Ghia,200,desconocido,5900,desconocido,,10000,desconocido,ford,
Golf_1_75ps_5911km_Original_Automatik_einer_der_letzten,7999,desconocido,5911,automatic,74.0,10000,desconocido,volkswagen,
Corsa_c20xe,2500,desconocido,5000,desconocido,,5000,desconocido,opel,
Vw_Golf_1_2.0_16V_ABF_Turbo_Umbau_Selten_1A_H&R_CLEAN,12000,desconocido,4000,manually,493.0,5000,desconocido,volkswagen,no
BMW_318i_E46_2_0L_Bj20022.Hand_Austauschmotor,6499,desconocido,8500,desconocido,,10000,desconocido,bmw,
Opel_zafira_2005,1500,desconocido,3700,manually,,5000,cng,opel,
Subaru_Impreza_GT,9000,desconocido,5000,manually,414.0,5000,petrol,subaru,no
E_Ton_Yukon_150,500,desconocido,3800,desconocido,,5000,desconocido,others,
APE_50___deutsche_Papiere_!!!,500,desconocido,4800,manually,,5000,desconocido,others,
Barkas_B1000,2350,desconocido,7000,desconocido,,10000,desconocido,others,
Auto_Sommerreifen,250,desconocido,4000,desconocido,,5000,desconocido,volkswagen,
Schoener_fast_neuer_Opel_Mokka_in_Zell_Mosel_mit_vielen_Extras,22200,desconocido,9000,automatic,138.0,10000,petrol,opel,
